ICOUNT,MIN,AVG,MAX
16,162.69,162.98,163.83
17,161.67,161.91,163.52
18,161.64,161.95,162.43
19,161.47,161.62,162.06
20,161.48,161.57,161.99
21,161.46,161.57,162.25
22,161.42,161.61,162.37
23,161.58,161.75,162.02
24,161.94,162.03,162.73
25,161.94,162.03,162.63
26,161.93,162.02,162.20
27,161.91,162.03,162.54
28,161.90,161.97,162.05
29,161.71,161.96,162.46
30,161.56,162.37,163.16
31,162.55,162.65,163.15
32,162.53,162.61,162.72
33,162.51,162.59,163.05
34,163.32,163.48,163.71
35,163.30,163.39,163.82
36,163.26,163.35,163.43
37,163.27,163.35,163.49
38,163.25,163.33,163.84
39,163.22,163.33,163.43
40,162.94,163.29,163.87
41,162.94,163.02,163.29
42,163.11,163.20,163.69
43,163.16,163.22,163.30
44,163.13,163.24,163.76
45,163.10,163.20,163.40
46,163.13,163.85,164.88
47,164.02,164.22,164.39
48,163.79,163.92,164.59
49,163.79,163.93,164.50
50,163.78,163.89,163.96
51,163.59,163.78,164.40
52,163.63,164.13,165.08
53,163.75,163.96,164.87
54,163.81,164.09,164.47
55,164.04,164.12,164.59
56,164.01,164.09,164.27
57,164.05,164.16,164.81
58,164.04,164.14,164.26
59,164.03,164.11,164.51
60,163.77,163.96,164.19
61,163.77,163.87,164.38
62,163.18,163.47,164.14
63,163.21,163.31,163.72
64,163.22,163.30,163.38
65,163.23,163.32,163.45
66,163.30,163.39,163.88
67,163.27,163.39,163.55
68,163.29,163.37,163.79
69,163.45,163.50,163.71
70,165.35,165.45,165.97
71,165.47,165.55,165.66
72,165.46,165.57,165.99
73,165.16,165.29,165.69
74,165.11,165.24,165.68
75,165.03,165.20,165.33
76,165.11,165.18,165.58
77,165.10,165.97,166.12
78,165.72,165.85,166.25
79,165.70,165.77,165.85
80,165.69,165.79,165.86
81,165.69,165.80,166.25
82,165.58,165.76,166.02
83,165.38,165.68,166.13
84,165.38,165.45,165.53
85,165.42,165.50,166.01
86,165.42,165.51,165.57
87,165.41,165.50,165.87
88,165.40,165.49,165.56
89,165.43,165.51,166.02
90,165.45,165.51,165.60
91,164.95,165.50,165.95
92,165.45,165.53,165.64
93,165.48,165.57,166.10
94,165.16,165.34,165.61
95,165.15,165.23,165.73
96,165.14,165.24,165.33
97,165.19,165.27,165.36
98,165.18,165.26,165.79
99,165.18,165.26,165.36
100,165.18,165.27,165.79
101,165.01,165.26,165.36
102,165.22,165.29,165.80
103,165.35,166.34,166.88
104,168.20,168.30,168.78
105,172.05,172.19,172.45
106,174.97,175.24,175.78
107,176.71,176.91,177.08
108,176.91,177.16,177.57
109,177.25,177.44,177.63
110,177.40,177.63,177.95
111,177.69,177.95,178.18
112,177.96,178.25,178.66
113,178.27,178.50,178.71
114,178.30,178.74,179.28
115,178.35,178.55,178.72
116,178.71,178.89,179.28
117,178.92,179.19,179.33
118,179.31,179.50,179.84
119,179.41,179.68,179.81
120,179.70,179.88,180.26
121,179.90,180.11,180.26
122,180.24,180.76,182.11
123,181.27,181.49,181.76
124,181.16,181.65,182.12
125,181.42,181.55,181.72
126,181.36,181.67,182.04
127,181.63,181.77,181.87
128,181.82,182.02,182.33
129,182.17,182.34,182.52
130,182.48,182.64,182.84
131,182.80,182.98,183.14
132,183.05,183.21,183.66
133,183.23,183.34,183.65
134,183.07,183.35,183.62
135,183.31,183.52,183.86
136,183.67,183.86,184.07
137,184.07,184.24,184.54
138,184.32,184.58,185.08
139,185.63,186.26,186.90
140,186.35,186.58,186.79
141,186.77,186.92,187.42
142,186.99,187.27,187.54
143,187.19,187.64,188.15
144,187.45,187.67,187.83
145,187.69,187.84,188.33
146,187.88,188.04,188.23
147,188.15,188.35,188.82
148,188.23,188.78,189.59
149,189.41,189.73,190.11
150,189.85,190.01,190.53
151,189.75,190.11,190.25
152,190.04,190.33,190.81
153,189.84,190.11,190.65
154,190.03,190.34,190.64
155,190.38,190.66,190.89
156,190.67,191.01,191.39
157,191.11,191.21,191.30
158,191.28,191.41,192.02
159,191.33,191.59,191.75
160,191.67,191.93,192.33
161,191.69,192.34,192.56
162,191.76,192.51,193.07
163,192.41,192.69,193.19
164,192.78,192.95,193.12
165,193.04,193.19,193.73
166,193.23,193.45,193.68
167,193.72,194.58,195.43
168,194.92,195.12,195.42
169,195.29,195.48,195.90
170,195.56,195.72,195.87
171,195.58,195.83,196.44
172,197.01,197.15,197.71
173,197.29,197.50,197.70
174,197.77,197.93,198.35
175,198.04,198.14,198.28
176,198.28,198.44,198.79
177,198.51,198.64,198.74
178,198.72,198.85,199.27
179,198.94,199.13,199.30
180,199.01,199.28,199.85
181,199.09,199.41,199.92
182,199.63,199.72,199.86
183,199.75,199.89,200.24
184,200.03,200.17,200.30
185,200.23,200.43,200.76
186,200.57,200.76,200.95
187,200.86,201.03,201.38
188,201.22,201.33,201.73
189,201.21,201.41,201.68
190,201.55,201.66,202.04
191,201.77,201.97,202.12
192,202.18,202.41,202.81
193,202.68,202.79,202.92
194,202.97,203.09,203.48
195,203.04,203.28,203.81
196,203.46,203.61,203.77
197,203.84,203.96,204.37
198,204.17,204.36,204.55
199,204.51,204.68,205.04
200,204.98,205.06,205.42
201,205.26,205.37,205.51
202,205.53,205.65,205.99
203,206.13,206.27,206.44
204,208.02,208.17,208.68
205,210.07,210.43,210.72
206,212.82,213.12,213.62
207,218.92,219.53,220.28
208,239.06,239.66,240.04
209,259.57,261.37,263.19
210,291.88,293.00,293.79
211,304.82,305.66,306.63
212,330.39,330.85,331.37
213,348.99,350.22,350.57
214,350.13,350.32,350.77
215,349.12,349.65,350.68
216,348.98,349.17,349.61
217,349.65,349.84,350.24
218,346.79,349.48,351.74
219,348.27,348.48,349.04
220,348.06,348.30,348.76
221,348.73,349.03,349.73
222,348.53,348.80,349.19
223,347.54,348.20,350.29
224,348.96,350.26,351.92
225,350.79,351.12,351.90
226,348.56,350.53,351.45
227,348.61,348.86,349.35
228,348.98,349.42,351.53
229,349.32,349.59,350.37
230,349.59,349.79,350.28
231,349.81,350.06,350.75
232,350.16,350.31,350.91
233,349.78,350.18,350.92
234,350.06,350.28,350.74
235,350.26,350.54,351.14
236,350.47,350.69,351.28
237,350.66,351.12,352.73
238,350.92,351.79,354.68
239,351.73,352.43,353.32
240,351.96,352.96,353.97
241,353.25,354.25,355.19
242,355.55,355.72,356.37
243,354.56,354.92,356.05
244,354.62,354.76,355.24
245,355.30,355.77,359.00
246,356.66,356.85,357.31
247,356.95,357.07,357.47
248,355.66,355.98,357.24
249,356.19,356.32,356.80
250,356.11,356.26,356.65
251,356.27,356.44,357.00
252,356.40,356.52,356.85
253,355.90,356.10,356.93
254,356.03,356.20,356.47
255,356.31,356.47,356.88
